Date,Holiday,WeekDay,Month,Day,Year
7/4/17,4th of July,Tuesday,7,4,2017
7/4/18,4th of July,Wednesday,7,4,2018
7/4/19,4th of July,Thursday,7,4,2019
7/4/20,4th of July,Saturday,7,4,2020
7/4/21,4th of July,Sunday,7,4,2021
12/25/17,Christmas Day,Monday,12,25,2017
12/25/18,Christmas Day,Tuesday,12,25,2018
12/25/19,Christmas Day,Wednesday,12,25,2019
12/25/20,Christmas Day,Friday,12,25,2020
12/25/21,Christmas Day,Saturday,12,25,2021
12/24/17,Christmas Eve,Sunday,12,24,2017
12/24/18,Christmas Eve,Monday,12,24,2018
12/24/19,Christmas Eve,Tuesday,12,24,2019
12/24/20,Christmas Eve,Thursday,12,24,2020
12/24/21,Christmas Eve,Friday,12,24,2021
10/8/18,Columbus Day,Monday,10,8,2018
10/9/17,Columbus Day,Monday,10,9,2017
10/11/21,Columbus Day,Monday,10,11,2021
10/12/20,Columbus Day,Monday,10,12,2020
10/14/19,Columbus Day,Monday,10,14,2019
4/8/18,Eastern Easter,Sunday,4,8,2018
4/16/17,Eastern Easter,Sunday,4,16,2017
4/19/20,Eastern Easter,Sunday,4,19,2020
4/28/19,Eastern Easter,Sunday,4,28,2019
5/2/21,Eastern Easter,Sunday,5,2,2021
6/19/20,Juneteenth,Friday,6,19,2020
6/19/21,Juneteenth,Saturday,6,19,2021
6/19/17,Juneteenth,Monday,6,19,2017
6/19/18,Juneteenth,Tuesday,6,19,2018
6/19/19,Juneteenth,Wednesday,6,19,2019
9/2/19,Labor Day,Monday,9,2,2019
9/3/18,Labor Day,Monday,9,3,2018
9/4/17,Labor Day,Monday,9,4,2017
9/6/21,Labor Day,Monday,9,6,2021
9/7/20,Labor Day,Monday,9,7,2020
8/31/19,Labor Day Weekend,Saturday,9,31,2019
9/1/19,Labor Day Weekend,Sunday,9,1,2019
9/1/18,Labor Day Weekend,Saturday,9,1,2018
9/2/18,Labor Day Weekend,Sunday,9,2,2018
9/2/17,Labor Day Weekend,Saturday,9,2,2017
9/3/17,Labor Day Weekend,Sunday,9,3,2017
9/4/21,Labor Day Weekend,Saturday,9,4,2021
9/5/21,Labor Day Weekend,Sunday,9,5,2021
9/5/20,Labor Day Weekend,Saturday,9,5,2020
9/6/20,Labor Day Weekend,Sunday,9,6,2020
1/15/18,"Martin Luther King, Jr. Day",Monday,1,15,2018
1/16/17,"Martin Luther King, Jr. Day",Monday,1,16,2017
1/18/21,"Martin Luther King, Jr. Day",Monday,1,18,2021
1/20/20,"Martin Luther King, Jr. Day",Monday,1,20,2020
1/21/19,"Martin Luther King, Jr. Day",Monday,1,21,2019
5/25/20,Memorial Day,Monday,5,25,2020
5/27/19,Memorial Day,Monday,5,27,2019
5/28/18,Memorial Day,Monday,5,28,2018
5/29/17,Memorial Day,Monday,5,29,2017
5/31/21,Memorial Day,Monday,5,31,2021
1/1/17,New Year's Day,Sunday,1,1,2017
1/1/18,New Year's Day,Monday,1,1,2018
1/1/19,New Year's Day,Tuesday,1,1,2019
1/1/20,New Year's Day,Wednesday,1,1,2020
1/1/21,New Year's Day,Friday,1,1,2021
12/31/17,New Year's Eve,Sunday,12,31,2017
12/31/18,New Year's Eve,Monday,12,31,2018
12/31/19,New Year's Eve,Tuesday,12,31,2019
12/31/20,New Year's Eve,Thursday,12,31,2020
12/31/21,New Year's Eve,Friday,12,31,2021
11/22/18,Thanksgiving Day,Thursday,11,22,2018
11/23/17,Thanksgiving Day,Thursday,11,23,2017
11/25/21,Thanksgiving Day,Thursday,11,25,2021
11/26/20,Thanksgiving Day,Thursday,11,26,2020
11/28/19,Thanksgiving Day,Thursday,11,28,2019
11/21/18,Thanksgiving Eve,Wednesday,11,21,2018
11/22/17,Thanksgiving Eve,Wednesday,11,22,2017
11/24/21,Thanksgiving Eve,Wednesday,11,24,2021
11/25/20,Thanksgiving Eve,Wednesday,11,25,2020
11/27/19,Thanksgiving Eve,Wednesday,11,27,2019
2/14/17,Valentine's Day,Tuesday,2,14,2017
2/14/18,Valentine's Day,Wednesday,2,14,2018
2/14/19,Valentine's Day,Thursday,2,14,2019
2/14/20,Valentine's Day,Friday,2,14,2020
2/14/21,Valentine's Day,Sunday,2,14,2021
11/11/17,Veterans Day,Saturday,11,11,2017
11/11/18,Veterans Day,Sunday,11,11,2018
11/11/19,Veterans Day,Monday,11,11,2019
11/11/20,Veterans Day,Wednesday,11,11,2020
11/11/21,Veterans Day,Thursday,11,11,2021
2/17/20,Washington's Birthday,Monday,2,17,2020
2/18/19,Washington's Birthday,Monday,2,18,2019
2/19/18,Washington's Birthday,Monday,2,19,2018
2/20/17,Washington's Birthday,Monday,2,20,2017
2/15/21,Washington's Birthday,Monday,2,15,2021
4/1/18,Western Easter,Sunday,4,1,2018
4/4/21,Western Easter,Sunday,4,4,2021
4/12/20,Western Easter,Sunday,4,12,2020
4/16/17,Western Easter,Sunday,4,16,2017
4/21/19,Western Easter,Sunday,4,21,2019